Label,area_0,area_1,area_2,area_3,area_4,perimeter_0,circularity_0,mean_intensity,std_intensity
Parasitized,2848.5,19.0,0,0,0,214.75,0.7762,132.1904,68.774
Parasitized,2346.5,20.0,0,0,0,254.21,0.4563,111.248,73.5804
Parasitized,2911.5,12.5,0,0,0,216.55,0.7802,133.1858,68.1936
Parasitized,2435.5,32.5,0,0,0,210.07,0.6936,114.0613,77.8828
Parasitized,2621.5,0,0,0,0,225.38,0.6485,124.2712,74.8185
Parasitized,2668.0,9.5,0,0,0,207.97,0.7752,121.8833,72.2307
Parasitized,2815.5,16.0,0,0,0,208.07,0.8173,126.6057,70.0274
Parasitized,2707.5,22.5,0,0,0,215.24,0.7344,124.2874,70.4859
Parasitized,2680.0,12.5,0,0,0,206.79,0.7875,125.3069,72.9032
Parasitized,2493.5,26.5,0,0,0,217.38,0.6631,114.7329,73.9236
Parasitized,2688.0,21.0,0,0,0,214.79,0.7321,119.7786,68.4115
Parasitized,2230.0,25.0,0,0,0,239.62,0.488,105.2092,74.2647
Parasitized,2906.5,7.0,0,0,0,214.75,0.792,128.9822,64.8796
Parasitized,2567.0,24.5,0,0,0,210.31,0.7293,113.5588,71.2442
Parasitized,2644.0,0,0,0,0,209.62,0.7561,121.6138,73.371
Parasitized,2650.0,36.0,0,0,0,205.14,0.7913,117.9275,69.7203
Parasitized,1861.0,78.0,0,0,0,261.28,0.3426,88.6448,71.7884
Parasitized,2360.0,20.0,0,0,0,208.31,0.6835,110.6841,78.0009
Parasitized,1848.0,12.0,0,0,0,223.48,0.465,89.7498,80.1382
Parasitized,2740.5,0,0,0,0,213.24,0.7574,128.5012,72.9809
Parasitized,2859.5,29.5,0,0,0,215.92,0.7707,132.1372,66.3955
Parasitized,2159.5,18.5,0,0,0,243.52,0.4576,105.8621,73.3882
Parasitized,2323.0,0,0,0,0,211.28,0.654,108.8921,76.4603
Parasitized,2641.0,16.0,0,0,0,209.97,0.7528,121.8857,71.7586
Parasitized,2448.0,0,0,0,0,204.79,0.7335,109.4814,71.6615
Parasitized,2717.0,21.0,0,0,0,209.14,0.7806,122.0491,69.295
Parasitized,1474.5,64.0,0,0,0,166.61,0.6675,74.8459,73.0253
Parasitized,2036.0,19.5,0,0,0,230.45,0.4818,97.6558,79.3949
Parasitized,2851.5,29.5,29.0,0,0,216.75,0.7627,128.1794,66.3321
Parasitized,2110.5,27.0,0,0,0,208.07,0.6126,97.3728,75.5228
Parasitized,2678.0,27.0,0,0,0,215.68,0.7234,121.6838,70.7165
Parasitized,2622.5,29.5,0,0,0,217.92,0.6939,122.1223,73.5914
Parasitized,2443.0,30.5,0,0,0,216.65,0.654,111.3064,72.7733
Parasitized,2737.0,30.5,0,0,0,212.65,0.7606,122.0039,66.8293
Parasitized,3088.5,18.5,0,0,0,219.58,0.805,141.7131,61.4536
Parasitized,2676.0,21.0,0,0,0,208.65,0.7724,123.4324,73.6628
Parasitized,1674.5,13.0,0,0,0,224.21,0.4186,79.291,74.4326
Parasitized,1880.0,49.0,0,0,0,220.45,0.4861,87.9377,75.1377
Parasitized,2697.0,0,0,0,0,215.62,0.729,122.8921,71.1492
Parasitized,2397.5,19.0,0,0,0,208.89,0.6904,111.0933,76.1767
Parasitized,2745.5,17.0,0,0,0,218.07,0.7255,126.9104,70.4257
Parasitized,2666.5,13.5,0,0,0,202.89,0.814,121.5996,71.4602
Parasitized,1750.5,0,0,0,0,210.89,0.4946,85.2173,82.1516
Parasitized,2614.5,14.0,11.0,0,0,211.72,0.7329,118.1978,71.027
Parasitized,2655.5,0,0,0,0,248.49,0.5404,124.4565,71.7881
Parasitized,2600.5,22.5,0,0,0,214.89,0.7076,119.3557,71.2059
Parasitized,1587.5,0,0,0,0,226.55,0.3887,78.9468,77.5772
Parasitized,2687.5,18.5,0,0,0,216.21,0.7225,124.574,71.3105
Parasitized,2807.5,5.5,0,0,0,215.24,0.7615,127.4072,65.7168
Parasitized,2302.5,58.5,27.5,0,0,222.21,0.586,103.2954,70.9456
Parasitized,2355.0,0,0,0,0,239.28,0.5169,112.3096,75.7525
Parasitized,2737.0,0,0,0,0,224.79,0.6806,129.3157,72.0104
Parasitized,2553.0,41.5,0,0,0,205.48,0.7598,115.4763,72.0169
Parasitized,2103.0,20.0,0,0,0,209.14,0.6042,98.8442,79.1842
Parasitized,2459.5,27.0,10.0,0,0,224.41,0.6137,116.8591,74.3949
Parasitized,2888.0,16.5,5.5,0,0,211.82,0.8088,131.7583,66.8631
Parasitized,2835.5,20.5,0,0,0,214.41,0.7751,131.9131,70.5381
Parasitized,2818.0,70.0,65.0,14.0,2.0,237.14,0.6297,117.2126,59.4102
Parasitized,2820.0,71.5,25.0,0,0,217.82,0.7469,121.9897,60.3649
Parasitized,2127.0,0,0,0,0,227.82,0.515,99.0984,74.1709
Parasitized,2248.0,105.5,0,0,0,234.45,0.5139,101.5383,69.9734
Parasitized,2005.5,63.0,46.0,2.0,0,240.55,0.4355,93.4375,71.1544
Parasitized,3048.0,58.0,0,0,0,219.34,0.7962,131.6528,61.0811
Parasitized,2960.5,62.5,0,0,0,229.58,0.7058,129.6143,62.7607
Parasitized,2458.0,50.0,35.0,0,0,246.79,0.5071,106.8755,65.6408
Parasitized,1263.5,140.5,22.5,0,0,215.58,0.3416,72.405,69.6123
Parasitized,2623.5,52.5,0,0,0,216.55,0.703,114.6934,67.3542
Parasitized,2920.0,75.0,0,0,0,216.99,0.7793,127.4219,63.065
Parasitized,1779.0,0,0,0,0,234.99,0.4048,86.5796,76.8128
